date,metric_0,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28,metric_29,metric_30,metric_31,metric_32,metric_33,metric_34,metric_35,metric_36,metric_37,metric_38,metric_39,metric_40,metric_41,metric_42,metric_43,metric_44,metric_45,metric_46,metric_47,metric_48,metric_49,metric_50,metric_51
2022-02-25 15:16:58 UTC,7.9,38.0,40.0,1.0,0.0,0.0,29.5,32.1,0.0,19.0,1.0,0.0,32.0,25.5,8.0,0.0,8.0,0.0,0.0,8.0,1.0,38.0,40.0,35.0,0.0,64.6,8.0,8.0,0.0,0.0,0.0,0.0,44.4,110.0,99.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:17:58 UTC,7.9,37.8,40.0,1.0,0.0,0.0,29.5,32.1,0.0,19.0,1.0,0.0,32.0,25.5,8.0,0.0,8.0,0.0,0.0,8.0,1.0,37.8,40.0,35.0,0.0,64.0,120.0,120.0,70.0,30.0,0.0,82.0,118.8,120.0,2.0,1.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:18:58 UTC,7.9,37.6,40.0,1.0,0.0,0.0,29.4,32.1,0.0,19.0,1.0,0.0,32.0,25.4,8.0,0.0,8.0,0.0,0.0,8.0,1.0,37.6,40.0,35.0,0.0,62.3,120.0,120.0,70.0,30.0,0.0,90.0,119.0,120.0,2.0,1.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:19:58 UTC,7.9,37.4,40.0,1.0,0.0,0.0,29.4,32.1,0.0,19.0,1.0,0.0,32.0,25.4,8.0,0.0,8.0,0.0,0.0,8.0,1.0,37.4,40.0,35.0,0.0,60.2,120.0,120.0,0.0,0.0,0.0,100.0,117.7,120.0,2.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:20:58 UTC,7.9,37.2,40.0,1.0,0.0,0.0,29.3,32.1,0.0,19.0,1.0,0.0,32.0,25.4,8.0,0.0,8.0,0.0,0.0,8.0,1.0,37.2,40.0,35.0,0.0,58.2,120.0,120.0,0.0,0.0,0.0,100.0,117.4,120.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:21:58 UTC,7.9,37.0,40.0,1.0,0.0,0.0,29.3,32.1,0.0,19.0,1.0,0.0,32.0,25.4,8.0,0.0,8.0,0.0,0.0,8.0,1.0,37.0,40.0,35.0,0.0,56.6,120.0,120.0,0.0,0.0,0.0,100.0,117.6,120.0,2.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:22:58 UTC,7.9,36.9,40.0,1.0,0.0,0.0,29.1,32.1,0.0,19.0,1.0,0.0,32.0,25.3,8.0,0.0,8.0,0.0,0.0,8.0,1.0,36.9,40.0,35.0,0.0,54.8,120.0,120.0,0.0,0.0,0.0,99.0,117.1,120.0,2.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:23:58 UTC,7.9,36.8,40.0,1.0,0.0,0.0,29.1,32.1,0.0,19.0,1.0,0.0,32.0,25.3,8.0,0.0,8.0,0.0,0.0,8.0,1.0,36.8,40.0,35.0,0.0,53.8,120.0,120.0,0.0,0.0,0.0,99.0,117.6,120.0,2.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:24:58 UTC,7.9,36.6,40.0,1.0,0.0,0.0,29.0,32.1,0.0,19.0,1.0,0.0,32.0,25.2,8.0,0.0,8.0,0.0,0.0,8.0,1.0,36.6,40.0,35.0,0.0,53.0,120.0,120.0,0.0,0.0,0.0,99.0,114.6,120.0,2.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
2022-02-25 15:25:58 UTC,7.9,36.5,40.0,1.0,0.0,0.0,28.9,32.1,0.0,19.0,1.0,0.0,32.0,25.2,8.0,0.0,8.0,0.0,0.0,8.0,1.0,36.5,40.0,35.0,0.0,68.1,120.0,120.0,0.0,0.0,0.0,100.0,111.3,120.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,180.0,1.0,0.0
